Shop_ID,Nazwa,Nazwa_Spolki,Format_Sklepu,PowSala,PowOgolem,IloscKas,data_wstapienia,data_wystapienia,LiczbaPracownikow,LiczbaUczniow,ProgramMagazynowy,standard_promocji
1317,Sklep 2,Małopolska,F,42,52,3,2017-06-13,,3,2,,standardowa
1505,Sklep 4,Wielkopolska,C,241,297,5,2005-03-05,,8,2,IdoSell,standardowa
4668,Sklep 8,Kujawy,D,109,169,7,2019-11-11,,4,4,Streamsoft,standardowa
1760,Sklep 26,Orbita,E,70,84,8,2017-05-15,2019-09-08,2,1,IdoSell,standardowa
1762,Sklep 27,Opole,E,70,151,5,1999-09-23,2017-03-16,3,2,IdoSell,mini
1763,Sklep 28,Kujawy,B,303,304,7,2017-03-20,2020-12-20,8,3,IdoSell,standardowa
3385,Sklep 31,Wielkopolska,F,26,58,9,2003-04-03,2013-10-15,3,2,IdoSell,standardowa
4586,Sklep 33,Wielkopolska,F,28,55,1,2021-10-17,,2,1,IdoSell,standardowa
604,Sklep 37,Wielkopolska,D,127,163,3,2023-12-07,,5,2,IdoSell,standardowa
4521,Sklep 38,Kujawy,B,303,373,6,2020-11-16,,8,4,ILUO,mini
2100,Sklep 43,Bielsko-Biała,F,49,82,3,2018-06-25,,2,0,ILUO,standardowa
2301,Sklep 48,Wielkopolska,F,27,57,2,2000-09-07,2015-02-16,1,0,ILUO,standardowa
3159,Sklep 59,Małopolska,F,30,34,5,2016-06-19,2023-06-29,2,0,ILUO,mini
3163,Sklep 60,Żory,F,50,113,6,2010-03-15,,4,0,ILUO,standardowa
3232,Sklep 61,Podlasie,F,32,44,2,2015-02-02,2023-06-02,4,0,ILUO,standardowa
3235,Sklep 62,Żory,F,27,39,2,2010-11-15,2012-08-10,4,2,ILUO,standardowa
3295,Sklep 63,Wielkopolska,B,281,320,4,2014-08-28,2019-05-26,6,6,IdoSell,standardowa
4128,Sklep 65,Północ,F,40,61,2,2013-05-14,,4,2,ILUO,standardowa
4139,Sklep 66,Podkarpacie,F,45,48,5,2007-05-12,,1,1,ILUO,standardowa
4161,Sklep 67,Małopolska,F,44,68,4,2012-05-03,2013-10-16,1,2,ILUO,standardowa
4172,Sklep 68,Zachód,F,50,62,2,2014-11-08,,3,0,ILUO,standardowa
4223,Sklep 69,Razem,F,48,57,1,2016-12-18,,3,2,ILUO,standardowa
4450,Sklep 70,Podkarpacie,E,73,124,3,2017-08-21,2021-04-03,5,2,ILUO,standardowa
4451,Sklep 71,Śląsk,F,49,77,4,2001-12-07,,4,0,ILUO,standardowa
2732,Sklep 72,Bielsko-Biała,A,423,497,4,2013-11-28,,10,6,IdoSell,standardowa
826,Sklep 74,Mazowsze,F,38,49,2,2003-10-26,2023-10-14,2,1,,standardowa
2114,Sklep 75,Małopolska,F,49,57,6,2016-11-11,,4,0,,standardowa
829,Sklep 76,Podlasie,F,44,106,1,1999-12-28,2012-02-03,3,2,,standardowa
4676,Sklep 78,Północ,C,250,283,5,2013-03-08,,8,5,IdoSell,mini
1167,Sklep 79,Północ,A,383,390,1,2002-09-21,,11,5,IdoSell,mini
1553,Sklep 81,Podlasie,D,132,155,3,2019-03-23,,6,4,IdoSell,standardowa
3760,Sklep 82,Północ,E,91,105,4,2020-09-26,,4,2,IdoSell,standardowa
4405,Sklep 83,Żory,F,30,30,6,2006-01-08,2010-06-10,2,0,IdoSell,brak
2607,Sklep 86,Śląsk,E,70,103,6,2010-12-07,,5,2,IdoSell,mini
3041,Sklep 87,Północ,D,107,135,4,2001-07-02,2021-12-29,6,4,IdoSell,mini
4402,Sklep 88,Wielkopolska,F,29,54,5,2007-03-23,2013-03-09,3,0,IdoSell,standardowa
4375,Sklep 89,Małopolska,F,39,54,3,2020-11-07,,2,2,IdoSell,standardowa
1658,Sklep 90,Bielsko-Biała,D,147,153,2,2014-10-24,,5,4,IdoSell,standardowa
3043,Sklep 91,Orbita,F,44,45,2,2017-03-16,,3,2,IdoSell,standardowa
3008,Sklep 92,Śląsk,A,397,417,2,2022-10-20,,11,3,IdoSell,mini
1048,Sklep 96,Północ,F,46,90,1,2009-08-15,,3,1,IdoSell,mini
1920,Sklep 97,Podlasie,E,86,123,4,2021-05-02,,3,1,IdoSell,standardowa
3524,Sklep 99,Bielsko-Biała,F,25,27,3,2016-12-18,,4,0,ILUO,standardowa
280,Sklep 101,Żory,F,49,63,5,2015-08-24,2017-05-17,4,1,IdoSell,mini
2963,Sklep 102,Razem,E,92,119,2,2017-03-31,,4,2,IdoSell,standardowa
842,Sklep 103,Śląsk,D,135,206,5,2000-02-03,,6,3,Streamsoft,standardowa
1208,Sklep 104,Bjanex,F,50,64,0,2013-05-03,,2,0,Streamsoft,mini
1605,Sklep 105,Zachód,D,104,127,5,2009-12-03,,7,2,DGCS,standardowa
2273,Sklep 106,Mazowsze,E,91,122,6,2018-10-11,,5,2,,standardowa
2296,Sklep 107,Mazowsze,A,432,482,5,2011-10-17,,11,6,DGCS,standardowa
2302,Sklep 109,Kielce,F,44,80,1,2001-03-09,2015-10-24,1,1,Streamsoft,mini
4548,Sklep 112,Bjanex,F,35,40,2,2019-11-07,,4,0,Streamsoft,standardowa
1604,Sklep 114,Kielce,E,94,135,3,2023-05-27,,5,2,DGCS,standardowa
2464,Sklep 115,Razem,C,188,244,8,2007-07-11,2010-09-11,7,4,ILUO,standardowa
624,Sklep 116,Bjanex,F,36,47,4,2001-04-21,,1,0,IdoSell,standardowa
1979,Sklep 119,Kielce,F,49,49,0,2009-10-10,2014-12-27,3,0,,standardowa
2473,Sklep 121,Podlasie,E,51,51,6,2017-11-22,2023-09-27,2,1,IdoSell,standardowa
