Shop_ID,Kod,Ilosc,StawkaVAT,shop_zn,shop_sb,shop_sn,data
461,5832750008749,6.23,0.0,5.49,7.47,7.47,2024-01-02
461,35142085431,11.0,0.0,2.32,3.24,3.24,2024-01-02
461,65331014,6.0,23.0,2.12,4.05,3.29,2024-01-02
461,35142097521,6.0,0.0,2.35,3.1,3.1,2024-01-02
461,35142085431,4.0,0.0,1.95,2.73,2.73,2024-01-02
461,3510003540,8.0,0.0,1.81,2.37,2.37,2024-01-02
461,35142085431,3.0,0.0,1.27,1.78,1.78,2024-01-02
461,4425486808164,8.0,23.0,0.85,1.46,1.19,2024-01-02
461,67757824,2.0,23.0,1.91,3.13,2.55,2024-01-02
461,4425250500242,10.0,0.0,1.72,2.63,2.63,2024-01-02
461,4425372764487,3.0,23.0,3.43,6.66,5.41,2024-01-02
461,3510000945,6.0,0.0,9.12,11.63,11.63,2024-01-02
461,3510003540,5.0,0.0,1.65,2.16,2.16,2024-01-02
461,35142089188,2.14,0.0,7.32,10.07,10.07,2024-01-02
461,44316627,5.0,23.0,11.58,15.01,12.2,2024-01-02
461,4427243325316,8.0,0.0,7.55,9.96,9.96,2024-01-02
461,4425250500214,5.0,0.0,2.86,3.92,3.92,2024-01-02
461,4425250500209,6.0,0.0,3.14,4.62,4.62,2024-01-02
461,35142097746,6.0,0.0,4.46,5.58,5.58,2024-01-02
461,3510001140,2.0,0.0,4.64,5.83,5.83,2024-01-02
461,4427243325075,4.0,0.0,3.88,4.89,4.89,2024-01-02
461,3510003540,9.0,0.0,2.54,3.33,3.33,2024-01-02
461,35142097521,10.0,0.0,3.84,5.07,5.07,2024-01-02
461,5832750008749,4.34,0.0,13.19,17.94,17.94,2024-01-02
461,4427243287541,10.0,0.0,4.88,6.22,6.22,2024-01-02
461,3510001140,9.0,0.0,3.97,4.99,4.99,2024-01-02
461,5832750001626,6.13,0.0,7.75,10.83,10.83,2024-01-02
461,35142089982,3.17,0.0,5.46,7.81,7.81,2024-01-02
461,4427174326238,6.0,0.0,5.54,7.09,7.09,2024-01-02
461,4305675300624,9.0,0.0,7.73,11.35,11.35,2024-01-02
461,35142091275,9.27,0.0,8.61,11.44,11.44,2024-01-02
461,35142088848,4.34,0.0,5.4,9.15,9.15,2024-01-02
461,35142089502,9.2,0.0,11.75,16.12,16.12,2024-01-02
